# Time[s], Amplitude[v]
0.000000000000000000e+00,1.052999975854618267e-06
4.999999999999999774e-07,1.088099961634725383e-06
9.999999999999999547e-07,9.827999497247218789e-07
1.500000000000000038e-06,8.423999156548233660e-07
1.999999999999999909e-06,6.317999896054971540e-07
2.500000000000000205e-06,4.211999657854903574e-07
3.000000000000000076e-06,8.072999594332941384e-07
3.499999999999999947e-06,5.615999589281273583e-07
3.999999999999999819e-06,6.668999617431836245e-07
4.500000000000000114e-06,8.072999958130822432e-07
5.000000000000000409e-06,8.424000020568201149e-07
5.499999999999999857e-06,1.368899979752313871e-06
6.000000000000000152e-06,1.403999958711210664e-06
6.499999999999999600e-06,1.439099953586264806e-06
6.999999999999999895e-06,1.439099949038791187e-06
7.500000000000000190e-06,1.403999974627368012e-06
7.999999999999999638e-06,1.052999973580881564e-06
8.499999999999999933e-06,4.562999652080179594e-07
9.000000000000000228e-06,3.860999640892259988e-07
9.500000000000000523e-06,2.808000226650620006e-07
1.000000000000000082e-05,7.370999924205534202e-07
1.049999999999999942e-05,1.017899990074511152e-06
1.099999999999999971e-05,1.052999953117250596e-06
1.150000000000000001e-05,6.317999668681295885e-07
1.200000000000000030e-05,2.105999783452716656e-07
1.250000000000000060e-05,2.273736754432320642e-15
1.299999999999999920e-05,7.019999657131847396e-08
1.349999999999999949e-05,1.754999902914278199e-07
1.399999999999999979e-05,5.264999776954937557e-07
1.450000000000000009e-05,1.052999959938461025e-07
1.500000000000000038e-05,-5.615999702968110881e-07
1.550000000000000068e-05,-1.684799956365168395e-06
1.599999999999999928e-05,-2.246399949399347155e-06
1.650000000000000127e-05,-2.702699935070995605e-06
1.699999999999999987e-05,-2.702699898691207501e-06
1.749999999999999847e-05,-2.316599907317140741e-06
1.800000000000000046e-05,-2.070899968202866335e-06
1.849999999999999906e-05,-1.439099946765054483e-06
1.900000000000000105e-05,-1.509299938788899470e-06
1.949999999999999965e-05,-1.649699963763850957e-06
2.000000000000000164e-05,-1.825199951781542100e-06
2.050000000000000024e-05,-1.579499939907691484e-06
2.099999999999999884e-05,-1.158299933194939614e-06
2.150000000000000083e-05,-2.807999976539576786e-07
2.199999999999999943e-05,1.053000073625298720e-07
